"","var","CF_hard","CNN_hard","ELM_hard","EWMA_hard","GARCH_hard","K-MEANS_hard","KNN_hard","NA_hard","NNET_hard","SCP_hard","SVM_hard","CF_soft","CNN_soft","ELM_soft","EWMA_soft","GARCH_soft","K-MEANS_soft","KNN_soft","NA_soft","NNET_soft","SCP_soft","SVM_soft"
"51","serie54",0.41,0.08,0.2,0.72,0.01,0.1,0.19,0.61,0.18,NA,0.16,0.42,0.12,0.21,0.72,0.1,0.1,0.34,0.61,0.19,0.07,0.17
"52","serie55",0.55,0.07,0.14,0.67,NA,NA,0.25,0.74,0.15,0.02,0.13,0.55,0.09,0.14,0.67,0.15,0.04,0.37,0.74,0.15,0.06,0.13
"53","serie56",0.06,0.01,0.02,1,NA,NA,0.04,1,0.02,NA,0.01,0.06,0.01,0.02,1,0.02,NA,0.04,1,0.02,0,0.01
"54","serie57",0.27,0.04,0.12,0.5,0.01,NA,0.11,0.36,0.12,0.01,0.16,0.27,0.06,0.12,0.5,0.07,NA,0.2,0.36,0.12,0.04,0.16
"55","serie58",NA,0.02,0.05,NA,NA,NA,0.09,NA,0.05,NA,0.04,0,0.03,0.05,NA,0.04,NA,0.12,NA,0.05,0.02,0.04
"56","serie59",0.3,NA,0.17,0.17,0.02,NA,0.13,0.43,0.14,NA,0.15,0.37,NA,0.17,0.17,0.16,NA,0.27,0.43,0.14,0.06,0.15
"57","serie6",0.2,0.06,0.11,0.67,NA,NA,0.11,0.5,0.09,NA,0.09,0.24,0.06,0.11,0.67,0.12,NA,0.18,0.5,0.09,0.03,0.09
"58","serie60",0.11,0.15,0.24,0.15,NA,NA,0.16,0.29,0.13,NA,0.12,0.16,0.15,0.24,0.15,0.23,NA,0.31,0.29,0.13,0.06,0.12
"59","serie61",0.28,0.06,0.18,0.7,NA,NA,0.22,0.7,0.21,0.01,0.15,0.28,0.09,0.18,0.7,0.14,NA,0.32,0.7,0.21,0.08,0.15
"60","serie62",0.29,0.1,0.16,0.5,NA,NA,0.25,0.67,0.14,0.01,0.15,0.32,0.1,0.16,0.5,0.16,NA,0.29,0.67,0.14,0.07,0.15
